epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.5445,1.13158,4.28497,1.58185,0.34757,0.51075,0.46705,0.40324,0.6847,3.62233,1.049,0.000119,0.000119,0.000119
2,105.058,0.78123,2.00017,1.1547,0.95778,0.44097,0.74351,0.60164,0.70988,2.25469,1.06913,0.000230743,0.000230743,0.000230743
3,122.574,0.73584,1.48544,1.10976,0.9288,0.81679,0.95128,0.78671,0.69003,1.70358,1.06463,0.000330235,0.000330235,0.000330235
4,140.386,0.71497,1.34395,1.10016,0.94028,0.9125,0.96337,0.82518,0.60732,0.93458,1.02736,0.000405314,0.000405314,0.000405314
5,157.273,0.68287,1.19935,1.06404,0.73168,0.95472,0.96429,0.82696,0.60642,1.00621,1.01809,0.000381752,0.000381752,0.000381752
6,173.835,0.67042,1.18489,1.0637,0.93859,0.9675,0.98682,0.83496,0.61221,0.64685,1.01743,0.00035819,0.00035819,0.00035819
7,189.253,0.62872,1.04372,1.01697,0.94703,0.9834,0.98886,0.82924,0.6406,0.5111,1.03057,0.000334628,0.000334628,0.000334628
8,206.02,0.64652,1.02666,1.04148,0.94798,0.97252,0.98436,0.86314,0.55082,0.49635,0.96631,0.000311066,0.000311066,0.000311066
9,223.576,0.62511,0.98253,1.01803,0.97827,0.98439,0.99118,0.86067,0.57541,0.49612,0.98634,0.000287504,0.000287504,0.000287504
10,241.807,0.60803,0.93183,1.01706,0.97829,0.97989,0.99321,0.87544,0.5133,0.45655,0.95203,0.000263942,0.000263942,0.000263942
11,262.334,0.58132,1.39653,1.00315,0.97563,0.98272,0.99027,0.87427,0.51084,0.4652,0.93966,0.00024038,0.00024038,0.00024038
12,280.698,0.54305,1.20399,0.97442,0.97711,0.98536,0.99147,0.87093,0.52831,0.43604,0.94067,0.000216818,0.000216818,0.000216818
13,298.266,0.54389,1.21249,0.97703,0.96032,0.98276,0.994,0.87906,0.51054,0.46752,0.93624,0.000193256,0.000193256,0.000193256
14,316.205,0.54332,1.14739,0.97388,0.97195,0.97658,0.99469,0.86104,0.55476,0.47154,0.99224,0.000169694,0.000169694,0.000169694
15,334.011,0.52271,1.10817,0.97,0.99293,0.99324,0.99432,0.89538,0.46597,0.38102,0.92006,0.000146132,0.000146132,0.000146132
16,348.517,0.48777,1.05926,0.93823,0.99297,0.995,0.99461,0.89244,0.47512,0.38309,0.91176,0.00012257,0.00012257,0.00012257
17,364.808,0.48978,1.04597,0.93029,0.98967,0.99646,0.99449,0.9001,0.44769,0.36286,0.90168,9.9008e-05,9.9008e-05,9.9008e-05
18,381.293,0.46986,1.01091,0.92047,0.99324,0.99535,0.99388,0.90227,0.44021,0.35604,0.89604,7.5446e-05,7.5446e-05,7.5446e-05
19,398.2,0.46299,0.99605,0.92051,0.99079,0.99333,0.99368,0.90063,0.44396,0.35869,0.90316,5.1884e-05,5.1884e-05,5.1884e-05
20,416.11,0.4616,0.99411,0.93423,0.99707,0.9969,0.99412,0.90552,0.42822,0.34925,0.89384,2.8322e-05,2.8322e-05,2.8322e-05
