epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0077,1.73421,4.99664,2.19784,0,0,0,0,1.27353,4.25835,1.94691,4.284e-05,4.284e-05,4.284e-05
2,26.8488,1.16643,4.09706,1.43926,0.46875,0.5,0.4975,0.44574,1.03254,3.56236,1.21717,9.02609e-05,9.02609e-05,9.02609e-05
3,33.0901,1.03953,2.89184,1.3077,0.37361,0.9,0.69702,0.54314,0.97435,2.85454,1.19697,0.000137493,0.000137493,0.000137493
4,38.8503,0.95335,2.1663,1.29118,0.33948,0.97333,0.96182,0.65598,0.95515,2.9944,1.17169,0.000184537,0.000184537,0.000184537
5,47.0135,0.97697,1.80079,1.25917,0.29421,0.97333,0.92974,0.70236,1.0085,2.37123,1.10713,0.000231393,0.000231393,0.000231393
6,52.8736,0.9323,1.49949,1.19482,0.99587,0.53949,0.85832,0.6831,0.96189,2.13225,1.07355,0.00027806,0.00027806,0.00027806
7,60.2363,0.92126,1.50171,1.18571,0.98808,0.90191,0.95567,0.73856,0.93711,1.50488,1.0359,0.000324538,0.000324538,0.000324538
8,67.403,0.87551,1.33945,1.12319,0.97472,0.95363,0.97402,0.71084,0.98377,1.271,1.07338,0.000370828,0.000370828,0.000370828
9,72.6208,0.84565,1.29771,1.11517,0.97277,0.96134,0.98415,0.765,0.88047,0.91073,1.00405,0.00041693,0.00041693,0.00041693
10,79.9128,0.86065,1.32473,1.12306,0.98379,0.9,0.97852,0.77005,0.87761,1.17421,1.00866,0.000462843,0.000462843,0.000462843
11,86.2725,0.87659,1.2221,1.11117,0.97213,0.89057,0.98322,0.78526,0.78863,1.01214,0.96163,0.000466575,0.000466575,0.000466575
12,91.486,0.84141,1.30808,1.10876,0.9909,0.89835,0.98591,0.79018,0.79736,1.10265,0.97619,0.000465633,0.000465633,0.000465633
13,98.8758,0.80222,1.17327,1.06822,0.98938,0.95984,0.9818,0.77887,0.82201,0.8384,0.99405,0.00046469,0.00046469,0.00046469
14,104.713,0.76299,1.09844,1.06357,0.98262,0.99846,0.9946,0.80002,0.72429,0.52473,0.91577,0.000463748,0.000463748,0.000463748
15,109.978,0.82048,1.07761,1.08454,0.99589,0.97248,0.99309,0.79336,0.76944,0.56291,0.95763,0.000462805,0.000462805,0.000462805
16,117.592,0.80223,1.14846,1.06526,0.97167,0.96378,0.99056,0.80141,0.75488,0.67156,0.95695,0.000461863,0.000461863,0.000461863
17,123.418,0.81913,1.13821,1.07389,0.98835,0.97216,0.99309,0.80648,0.75913,0.55933,0.97061,0.00046092,0.00046092,0.00046092
18,128.55,0.75077,1.06061,1.04951,0.99738,0.99078,0.99487,0.80402,0.77173,0.64741,0.97406,0.000459978,0.000459978,0.000459978
19,136.871,0.70136,1.012,1.03133,0.99747,0.99333,0.99481,0.82195,0.70695,0.46427,0.9341,0.000459035,0.000459035,0.000459035
20,142.241,0.77253,0.97354,1.04713,0.98741,0.99232,0.99467,0.81258,0.74665,0.53604,0.94792,0.000458093,0.000458093,0.000458093
21,147.457,0.80991,1.01094,1.09582,0.99383,0.98777,0.99475,0.81078,0.74373,0.49465,0.93938,0.00045715,0.00045715,0.00045715
