epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,772.898,0.51599,0.43661,0.97869,0.9963,0.99783,0.995,0.91035,0.43104,0.31194,0.94172,0.000419451,0.000419451,0.000419451
44,789.347,0.51019,0.43746,0.97341,0.99492,0.99661,0.995,0.91285,0.43669,0.3165,0.94441,0.000418105,0.000418105,0.000418105
45,805.262,0.5131,0.43292,0.96733,0.99698,1,0.99498,0.91121,0.41675,0.29181,0.93424,0.000416758,0.000416758,0.000416758
46,821.676,0.5217,0.43796,0.97767,0.99933,1,0.995,0.91761,0.41483,0.26186,0.93711,0.000415412,0.000415412,0.000415412
47,835.282,0.49755,0.40142,0.96026,0.99865,0.99994,0.995,0.90955,0.42883,0.2906,0.94479,0.000414066,0.000414066,0.000414066
48,850.145,0.5221,0.41258,0.96486,0.99922,1,0.995,0.90833,0.4535,0.30343,0.96507,0.000412719,0.000412719,0.000412719
49,865.749,0.50515,0.4094,0.95913,0.9997,1,0.995,0.90735,0.4307,0.28718,0.94135,0.000411373,0.000411373,0.000411373
50,882.032,0.50922,0.4183,0.9662,0.99935,1,0.995,0.91286,0.4141,0.2806,0.93364,0.000410026,0.000410026,0.000410026
51,898.61,0.48452,0.39616,0.9459,0.99592,1,0.995,0.93183,0.38864,0.28621,0.91505,0.00040868,0.00040868,0.00040868
52,914.818,0.48024,0.40233,0.95078,0.99952,1,0.995,0.91573,0.40551,0.26896,0.91934,0.000407334,0.000407334,0.000407334
53,930.606,0.48745,0.42098,0.96099,0.99317,0.99774,0.99465,0.9161,0.40008,0.28782,0.93242,0.000405987,0.000405987,0.000405987
54,944.701,0.47459,0.38371,0.95387,0.99891,0.99811,0.995,0.91663,0.40987,0.27131,0.94083,0.000404641,0.000404641,0.000404641
55,959.812,0.50933,0.40619,0.96251,0.99893,0.99996,0.995,0.91421,0.40952,0.26197,0.93488,0.000403294,0.000403294,0.000403294
56,976.074,0.48554,0.37467,0.94939,0.99934,1,0.995,0.90981,0.42332,0.26617,0.94401,0.000401948,0.000401948,0.000401948
57,992.492,0.49942,0.38897,0.9674,0.99671,1,0.995,0.92413,0.40094,0.26393,0.92405,0.000400602,0.000400602,0.000400602
58,1008.55,0.4702,0.36932,0.93786,0.99917,1,0.995,0.92988,0.37753,0.25363,0.91537,0.000399255,0.000399255,0.000399255
59,1024.99,0.47948,0.38982,0.94567,0.99966,1,0.995,0.92334,0.41245,0.26289,0.93828,0.000397909,0.000397909,0.000397909
60,1039.66,0.48383,0.38058,0.9653,0.99924,1,0.995,0.92482,0.39094,0.26979,0.92009,0.000396562,0.000396562,0.000396562
61,1054.05,0.48308,0.37081,0.94953,0.99971,1,0.995,0.93036,0.37614,0.23731,0.91009,0.000395216,0.000395216,0.000395216
62,1069.73,0.49424,0.37278,0.95358,0.99938,1,0.995,0.92059,0.39075,0.24684,0.92051,0.00039387,0.00039387,0.00039387
63,1085.7,0.4727,0.35546,0.95818,0.99966,0.99978,0.995,0.93056,0.37487,0.23649,0.91469,0.000392523,0.000392523,0.000392523
64,1102.71,0.47755,0.34524,0.95938,0.99935,1,0.995,0.92652,0.38068,0.23747,0.91827,0.000391177,0.000391177,0.000391177
65,1119,0.47636,0.35392,0.95796,0.99927,1,0.995,0.923,0.38453,0.23557,0.91682,0.00038983,0.00038983,0.00038983
66,1134.94,0.47967,0.34719,0.95773,0.99945,1,0.995,0.92568,0.39133,0.24648,0.91751,0.000388484,0.000388484,0.000388484
67,1149.1,0.47047,0.33259,0.92897,0.99983,0.99848,0.995,0.92561,0.38692,0.26047,0.91087,0.000387138,0.000387138,0.000387138
68,1163.94,0.46638,0.35241,0.94222,0.99954,1,0.995,0.92649,0.38039,0.24474,0.90941,0.000385791,0.000385791,0.000385791
69,1179.82,0.45551,0.33202,0.92711,0.99885,0.99868,0.995,0.93219,0.37273,0.23919,0.90247,0.000384445,0.000384445,0.000384445
70,1195.88,0.44221,0.32185,0.92639,0.99634,0.99772,0.995,0.93582,0.3697,0.24852,0.90454,0.000383098,0.000383098,0.000383098
71,1212.24,0.46724,0.33583,0.94865,0.99586,0.99315,0.99448,0.93475,0.36446,0.26006,0.90418,0.000381752,0.000381752,0.000381752
72,1228.49,0.43412,0.31969,0.92846,0.99949,1,0.995,0.92865,0.39145,0.25345,0.9188,0.000380406,0.000380406,0.000380406
73,1244.31,0.46165,0.33667,0.95382,0.99949,1,0.995,0.92608,0.38177,0.24071,0.92021,0.000379059,0.000379059,0.000379059
74,1258.56,0.47663,0.3388,0.95186,0.99878,0.99999,0.995,0.94034,0.36561,0.23486,0.90525,0.000377713,0.000377713,0.000377713
75,1273.11,0.45358,0.32988,0.94515,0.99964,1,0.995,0.93592,0.36578,0.22082,0.90608,0.000376366,0.000376366,0.000376366
76,1288.65,0.44559,0.32119,0.93901,0.99969,1,0.995,0.93348,0.36156,0.22421,0.90038,0.00037502,0.00037502,0.00037502
77,1305.1,0.44028,0.30409,0.93293,0.9995,1,0.995,0.93657,0.35772,0.22402,0.90193,0.000373674,0.000373674,0.000373674
78,1321.23,0.45673,0.32135,0.94293,0.99955,1,0.995,0.92634,0.38037,0.23035,0.90508,0.000372327,0.000372327,0.000372327
79,1337.2,0.44926,0.31691,0.94087,0.99953,1,0.995,0.93991,0.34294,0.21187,0.89232,0.000370981,0.000370981,0.000370981
80,1353.49,0.43688,0.29894,0.92557,0.99949,1,0.995,0.94024,0.35194,0.21674,0.8977,0.000369634,0.000369634,0.000369634
81,1367.22,0.45243,0.32184,0.93322,0.99896,1,0.995,0.94401,0.34146,0.20847,0.89545,0.000368288,0.000368288,0.000368288
82,1382.29,0.43941,0.31726,0.92737,0.9994,1,0.995,0.93554,0.35568,0.21503,0.90125,0.000366942,0.000366942,0.000366942
83,1398.36,0.43252,0.30202,0.92387,0.99946,1,0.995,0.9326,0.37548,0.21937,0.91329,0.000365595,0.000365595,0.000365595
84,1414.53,0.45561,0.32183,0.94397,0.99951,1,0.995,0.93136,0.36869,0.22526,0.90925,0.000364249,0.000364249,0.000364249
85,1430.7,0.42991,0.31961,0.90795,0.99952,1,0.995,0.94371,0.35073,0.22762,0.89456,0.000362902,0.000362902,0.000362902
86,1447.05,0.44903,0.31176,0.9422,0.9996,1,0.995,0.93833,0.353,0.20588,0.89569,0.000361556,0.000361556,0.000361556
87,1463.49,0.42923,0.30308,0.93404,0.99969,1,0.995,0.93784,0.33789,0.22585,0.88951,0.00036021,0.00036021,0.00036021
88,1477.48,0.42005,0.2893,0.92022,0.99958,1,0.995,0.94673,0.34004,0.21388,0.89291,0.000358863,0.000358863,0.000358863
89,1491.57,0.44536,0.30228,0.93218,0.99969,1,0.995,0.94887,0.33245,0.21844,0.88385,0.000357517,0.000357517,0.000357517
90,1507.43,0.42386,0.28102,0.91967,0.99961,1,0.995,0.93856,0.35287,0.21815,0.89724,0.00035617,0.00035617,0.00035617
91,1524.08,0.44044,0.30667,0.929,0.99547,0.99981,0.99495,0.93902,0.35394,0.21287,0.89579,0.000354824,0.000354824,0.000354824
92,1540.28,0.43208,0.28862,0.9236,0.99948,1,0.995,0.94345,0.33747,0.21088,0.88615,0.000353478,0.000353478,0.000353478
93,1556.58,0.44222,0.29695,0.93709,0.99967,1,0.995,0.93966,0.34834,0.21317,0.89552,0.000352131,0.000352131,0.000352131
94,1573.11,0.4347,0.30486,0.93743,0.99957,1,0.995,0.94259,0.34005,0.20712,0.88948,0.000350785,0.000350785,0.000350785
95,1586.7,0.44645,0.29945,0.94957,0.99969,1,0.995,0.94666,0.33428,0.20146,0.8864,0.000349438,0.000349438,0.000349438
96,1601.6,0.42602,0.29279,0.93452,0.99957,1,0.995,0.94673,0.34793,0.21265,0.89335,0.000348092,0.000348092,0.000348092
97,1617.87,0.42225,0.29301,0.92779,0.99966,1,0.995,0.94094,0.35416,0.2138,0.89832,0.000346746,0.000346746,0.000346746
98,1634.13,0.42346,0.31205,0.93575,0.99935,1,0.995,0.95081,0.3273,0.2064,0.88006,0.000345399,0.000345399,0.000345399
99,1650.42,0.41752,0.28871,0.91718,0.9996,1,0.995,0.94796,0.34851,0.21464,0.88856,0.000344053,0.000344053,0.000344053
100,1666.44,0.40304,0.28283,0.91827,0.99944,1,0.995,0.9481,0.33263,0.20351,0.88198,0.000342706,0.000342706,0.000342706
101,1682.62,0.42417,0.29274,0.92337,0.99961,1,0.995,0.9546,0.33244,0.19783,0.8847,0.00034136,0.00034136,0.00034136
102,1698.13,0.42545,0.28624,0.93456,0.99966,1,0.995,0.95472,0.31581,0.19787,0.87773,0.000340014,0.000340014,0.000340014
