               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.037874,            0.010845,            0.004674,            0.011441,                0.82,            0.017359,           0.0033916,             0.02694,            0.005573,           0.0032532,           0.0093268,           0.0093268,           0.0093268
                  36,            0.038314,            0.010133,           0.0045941,             0.01184,             0.83333,            0.071977,            0.033561,            0.028366,           0.0051794,           0.0034241,            0.009307,            0.009307,            0.009307
                  37,            0.034475,            0.010291,           0.0048607,            0.014162,             0.69333,            0.027403,           0.0052473,            0.027661,           0.0051255,           0.0033582,           0.0092872,           0.0092872,           0.0092872
                  38,            0.036943,           0.0099022,            0.004701,             0.01354,                0.56,            0.016612,           0.0036061,            0.029508,            0.004941,           0.0033968,           0.0092674,           0.0092674,           0.0092674
                  39,            0.039471,            0.010164,           0.0047106,            0.012825,            0.013333,           0.0068892,           0.0013124,            0.024607,           0.0050822,            0.003526,           0.0092476,           0.0092476,           0.0092476
                  40,            0.035956,            0.010596,           0.0047621,            0.007691,             0.29333,            0.010881,           0.0018167,            0.021597,           0.0047989,           0.0034804,           0.0092278,           0.0092278,           0.0092278
                  41,            0.038294,           0.0094789,           0.0047205,            0.022722,             0.56667,            0.051746,           0.0093773,            0.032393,           0.0049827,           0.0033781,            0.009208,            0.009208,            0.009208
                  42,            0.035179,           0.0087426,            0.004751,            0.026274,             0.62667,            0.029083,           0.0052517,            0.027333,           0.0049454,           0.0032346,           0.0091882,           0.0091882,           0.0091882
                  43,            0.038862,            0.009162,            0.004282,            0.014572,             0.30667,            0.013346,           0.0035853,            0.022346,           0.0045369,           0.0030564,           0.0091684,           0.0091684,           0.0091684
                  44,            0.034946,            0.010391,           0.0043494,            0.013594,             0.31333,            0.013049,           0.0035023,             0.02402,           0.0046999,           0.0030802,           0.0091486,           0.0091486,           0.0091486
                  45,            0.034897,            0.009508,           0.0042881,            0.031887,             0.59333,            0.045075,            0.009932,            0.028002,           0.0050658,           0.0031228,           0.0091288,           0.0091288,           0.0091288
                  46,            0.035482,           0.0092179,           0.0044968,            0.012391,                0.32,           0.0095655,           0.0020691,            0.025804,           0.0047974,           0.0031018,            0.009109,            0.009109,            0.009109
                  47,            0.035533,            0.010297,           0.0042263,            0.010859,             0.32667,           0.0097442,           0.0026936,            0.027374,           0.0050847,           0.0031033,           0.0090892,           0.0090892,           0.0090892
                  48,             0.03563,            0.009152,           0.0041175,            0.011394,             0.32667,           0.0089885,           0.0018035,            0.025622,            0.004839,           0.0031464,           0.0090694,           0.0090694,           0.0090694
                  49,             0.03254,           0.0088445,            0.004041,            0.012528,                0.42,            0.023017,           0.0038455,            0.025374,            0.004764,           0.0032237,           0.0090496,           0.0090496,           0.0090496
                  50,            0.034455,            0.010121,           0.0040525,           0.0090389,                0.28,            0.010071,           0.0021996,            0.027285,           0.0050032,           0.0031989,           0.0090298,           0.0090298,           0.0090298
                  51,            0.034009,           0.0094831,           0.0040452,            0.017766,                0.52,             0.01916,           0.0045892,            0.026874,           0.0047807,           0.0030179,             0.00901,             0.00901,             0.00901
                  52,            0.032082,           0.0091257,           0.0040574,            0.017418,                0.56,            0.022671,           0.0052586,            0.025747,           0.0047788,           0.0030772,           0.0089902,           0.0089902,           0.0089902
                  53,             0.03252,            0.008812,           0.0040476,            0.016408,             0.52667,            0.037911,           0.0063653,            0.023055,           0.0046501,           0.0031158,           0.0089704,           0.0089704,           0.0089704
                  54,            0.032991,           0.0097088,           0.0042218,             0.01392,             0.39333,            0.021083,           0.0038539,            0.021112,           0.0045201,           0.0032465,           0.0089506,           0.0089506,           0.0089506
                  55,            0.031762,           0.0088564,           0.0041766,           0.0083576,             0.19333,           0.0067102,           0.0014298,            0.020046,           0.0046609,           0.0030951,           0.0089308,           0.0089308,           0.0089308
                  56,            0.031032,            0.008569,            0.003939,            0.020373,                0.02,            0.006054,           0.0012103,            0.023012,           0.0044268,           0.0030812,            0.008911,            0.008911,            0.008911
                  57,            0.033721,            0.010001,           0.0037026,            0.012051,                 0.3,            0.014362,           0.0029669,            0.022736,           0.0043912,           0.0030074,           0.0088912,           0.0088912,           0.0088912
                  58,            0.033524,           0.0084275,            0.003784,            0.013146,             0.32667,            0.016679,           0.0030395,            0.027786,           0.0045326,           0.0031807,           0.0088714,           0.0088714,           0.0088714
                  59,            0.030855,            0.009104,           0.0039599,            0.011692,             0.22667,            0.010551,           0.0022698,            0.018105,           0.0043154,            0.002979,           0.0088516,           0.0088516,           0.0088516
