id,timestamp,attention-class,class-score,model-version,track-title,track-id,artist,text-reading
1,2024-12-22 16:29:33.938818+00,DISTRACTED,0.866439,attention-detection-v4,Love is Heartbreak,7FyDi2JX5dyXfcN0Kepey7,Cousin Tony's Brand New Firebird,483
2,2024-12-22 16:29:41.293985+00,DISTRACTED,0.876667,attention-detection-v4,Love is Heartbreak,7FyDi2JX5dyXfcN0Kepey7,Cousin Tony's Brand New Firebird,407
3,2024-12-22 16:29:45.302946+00,FOCUSED,0.975039,attention-detection-v4,Love is Heartbreak,7FyDi2JX5dyXfcN0Kepey7,Cousin Tony's Brand New Firebird,107
4,2024-12-22 16:29:48.667685+00,FOCUSED,0.961814,attention-detection-v4,Love is Heartbreak,7FyDi2JX5dyXfcN0Kepey7,Cousin Tony's Brand New Firebird,196
5,2024-12-22 16:29:51.933117+00,FOCUSED,0.962477,attention-detection-v4,Love is Heartbreak,7FyDi2JX5dyXfcN0Kepey7,Cousin Tony's Brand New Firebird,195
6,2024-12-22 16:29:55.179025+00,FOCUSED,0.975081,attention-detection-v4,Love is Heartbreak,7FyDi2JX5dyXfcN0Kepey7,Cousin Tony's Brand New Firebird,195
7,2024-12-22 16:29:58.554082+00,FOCUSED,0.860349,attention-detection-v4,Love is Heartbreak,7FyDi2JX5dyXfcN0Kepey7,Cousin Tony's Brand New Firebird,194
8,2024-12-22 16:39:33.582857+00,DISTRACTED,0.955939,attention-detection-v4,Thought We Were Falling In Love,4lk4ha5k2A4ehZ66f8QQc1,Vona Vella,414
9,2024-12-22 16:40:29.602397+00,DISTRACTED,0.474543,attention-detection-v4,Thought We Were Falling In Love,4lk4ha5k2A4ehZ66f8QQc1,Vona Vella,467
10,2024-12-22 16:40:54.266167+00,DISTRACTED,0.95757,attention-detection-v4,Garden of the Sun,2h8wwH2bfuxPXPKgJVJv7A,ØZWALD,467
11,2024-12-22 16:41:13.590865+00,FOCUSED,0.370927,attention-detection-v4,Garden of the Sun,2h8wwH2bfuxPXPKgJVJv7A,ØZWALD,232
12,2024-12-22 16:41:33.168576+00,FOCUSED,0.942722,attention-detection-v4,Garden of the Sun,2h8wwH2bfuxPXPKgJVJv7A,ØZWALD,343
13,2024-12-22 16:41:52.722067+00,FOCUSED,0.942965,attention-detection-v4,Garden of the Sun,2h8wwH2bfuxPXPKgJVJv7A,ØZWALD,242
14,2024-12-22 16:42:11.770351+00,FOCUSED,0.932965,attention-detection-v4,Garden of the Sun,2h8wwH2bfuxPXPKgJVJv7A,ØZWALD,345
15,2024-12-22 16:42:30.794717+00,FOCUSED,0.558331,attention-detection-v4,Garden of the Sun,2h8wwH2bfuxPXPKgJVJv7A,ØZWALD,356
16,2024-12-22 16:42:49.952646+00,FOCUSED,0.259941,attention-detection-v4,Garden of the Sun,2h8wwH2bfuxPXPKgJVJv7A,ØZWALD,408
17,2024-12-22 16:43:09.578019+00,DISTRACTED,0.717845,attention-detection-v4,Garden of the Sun,2h8wwH2bfuxPXPKgJVJv7A,ØZWALD,264
18,2024-12-22 16:43:31.446431+00,DISTRACTED,0.894323,attention-detection-v4,better.,0NVBxuoHIYWqzbGh6a7a4F,Grand Lotus,439
19,2024-12-22 16:43:51.022079+00,DISTRACTED,0.44118,attention-detection-v4,better.,0NVBxuoHIYWqzbGh6a7a4F,Grand Lotus,420
20,2024-12-22 16:44:09.928801+00,DISTRACTED,0.821309,attention-detection-v4,better.,0NVBxuoHIYWqzbGh6a7a4F,Grand Lotus,322
21,2024-12-22 16:44:31.799983+00,FOCUSED,0.951277,attention-detection-v4,better.,0NVBxuoHIYWqzbGh6a7a4F,Grand Lotus,389
22,2024-12-22 16:44:54.074508+00,DISTRACTED,0.8997,attention-detection-v4,better.,0NVBxuoHIYWqzbGh6a7a4F,Grand Lotus,405
23,2024-12-22 16:45:17.532858+00,DISTRACTED,0.38133,attention-detection-v4,better.,0NVBxuoHIYWqzbGh6a7a4F,Grand Lotus,432
24,2024-12-22 16:45:40.166993+00,FOCUSED,0.969586,attention-detection-v4,better.,0NVBxuoHIYWqzbGh6a7a4F,Grand Lotus,383
25,2024-12-22 16:46:01.4545+00,DISTRACTED,0.445805,attention-detection-v4,better.,0NVBxuoHIYWqzbGh6a7a4F,Grand Lotus,135
26,2024-12-22 16:46:22.078561+00,FOCUSED,0.981195,attention-detection-v4,I'LL DO ANYTHING,1sajCkdwM6A7lcyf9LMANH,Comfort Royale,453
27,2024-12-22 16:46:43.717462+00,DISTRACTED,0.530287,attention-detection-v4,I'LL DO ANYTHING,1sajCkdwM6A7lcyf9LMANH,Comfort Royale,409
28,2024-12-22 16:47:05.273506+00,DISTRACTED,0.757748,attention-detection-v4,I'LL DO ANYTHING,1sajCkdwM6A7lcyf9LMANH,Comfort Royale,452
29,2024-12-22 16:47:28.054532+00,DISTRACTED,0.503542,attention-detection-v4,I'LL DO ANYTHING,1sajCkdwM6A7lcyf9LMANH,Comfort Royale,416
30,2024-12-22 16:47:48.607713+00,FOCUSED,0.927747,attention-detection-v4,I'LL DO ANYTHING,1sajCkdwM6A7lcyf9LMANH,Comfort Royale,366
31,2024-12-22 16:48:09.938713+00,DISTRACTED,0.436082,attention-detection-v4,I'LL DO ANYTHING,1sajCkdwM6A7lcyf9LMANH,Comfort Royale,453
32,2024-12-22 16:48:36.164162+00,FOCUSED,0.533562,attention-detection-v4,I'LL DO ANYTHING,1sajCkdwM6A7lcyf9LMANH,Comfort Royale,419
33,2024-12-22 16:48:58.479185+00,FOCUSED,0.259701,attention-detection-v4,I'LL DO ANYTHING,1sajCkdwM6A7lcyf9LMANH,Comfort Royale,451
34,2024-12-22 16:49:19.8619+00,FOCUSED,0.605617,attention-detection-v4,I'LL DO ANYTHING,1sajCkdwM6A7lcyf9LMANH,Comfort Royale,457
35,2024-12-22 16:49:45.608658+00,DISTRACTED,0.877776,attention-detection-v4,Motels,1V888fh2JLVzMElr1pEz6Z,Royel Otis,428
36,2024-12-22 16:50:05.526353+00,FOCUSED,0.902824,attention-detection-v4,Motels,1V888fh2JLVzMElr1pEz6Z,Royel Otis,410
37,2024-12-22 16:50:26.596384+00,FOCUSED,0.485894,attention-detection-v4,Motels,1V888fh2JLVzMElr1pEz6Z,Royel Otis,398
38,2024-12-22 16:50:49.152963+00,FOCUSED,0.606684,attention-detection-v4,Hard Times for Heatherhead,5GBmMMDkAwEByKd3SaGkaI,Generationals,386
39,2024-12-22 16:51:09.411467+00,FOCUSED,0.357592,attention-detection-v4,Mean Streets,54V878sm3KwMjfF4QreX8i,Tennis,447
40,2024-12-22 16:51:31.48493+00,FOCUSED,0.861003,attention-detection-v4,Mean Streets,54V878sm3KwMjfF4QreX8i,Tennis,608
41,2024-12-22 16:51:52.995006+00,FOCUSED,0.897062,attention-detection-v4,Mean Streets,54V878sm3KwMjfF4QreX8i,Tennis,549
42,2024-12-22 16:52:14.956606+00,DISTRACTED,0.414277,attention-detection-v4,Mean Streets,54V878sm3KwMjfF4QreX8i,Tennis,525
43,2024-12-22 16:52:34.09859+00,FOCUSED,0.841351,attention-detection-v4,Mean Streets,54V878sm3KwMjfF4QreX8i,Tennis,294
44,2024-12-22 16:52:53.084063+00,FOCUSED,0.885529,attention-detection-v4,Mean Streets,54V878sm3KwMjfF4QreX8i,Tennis,294
45,2024-12-22 16:53:12.099936+00,DISTRACTED,0.639496,attention-detection-v4,Mean Streets,54V878sm3KwMjfF4QreX8i,Tennis,294
46,2024-12-22 16:53:30.610662+00,FOCUSED,0.265551,attention-detection-v4,Mean Streets,54V878sm3KwMjfF4QreX8i,Tennis,181
47,2024-12-22 16:53:49.736861+00,DISTRACTED,0.899355,attention-detection-v4,Mean Streets,54V878sm3KwMjfF4QreX8i,Tennis,299
48,2024-12-22 16:54:09.882627+00,DISTRACTED,0.916157,attention-detection-v4,Mean Streets,54V878sm3KwMjfF4QreX8i,Tennis,471
49,2024-12-22 16:54:29.759237+00,DISTRACTED,0.968766,attention-detection-v4,How Many Times Have You Driven By,2rHTuNxXq1Cj4JxV68AQKn,Hana Vu,393
50,2024-12-22 17:02:01.655268+00,FOCUSED,0.530444,attention-detection-v4,How Many Times Have You Driven By,2rHTuNxXq1Cj4JxV68AQKn,Hana Vu,474
51,2024-12-22 17:04:04.909375+00,DISTRACTED,0.274709,attention-detection-v4,What Was Mine,5VDUZPWstPQAyJitGzJRfr,Sarah Kinsley,433
52,2024-12-22 17:06:22.42911+00,DISTRACTED,0.940573,attention-detection-v4,Slugger,3NMXHkEhxF2ijm2KC0wHKU,SASAMI,536
53,2024-12-22 17:06:43.036123+00,DISTRACTED,0.830731,attention-detection-v4,Slugger,3NMXHkEhxF2ijm2KC0wHKU,SASAMI,445
54,2024-12-22 17:07:02.944268+00,FOCUSED,0.868342,attention-detection-v4,Slugger,3NMXHkEhxF2ijm2KC0wHKU,SASAMI,445
55,2024-12-22 17:10:36.218648+00,DISTRACTED,0.277065,attention-detection-v4,Mystic,6TlLrSESZ4kbI6SoMTnpLu,Evangeline,478
56,2024-12-22 17:10:57.340728+00,DISTRACTED,0.955612,attention-detection-v4,Mystic,6TlLrSESZ4kbI6SoMTnpLu,Evangeline,391
